Run,Phase,Epoch,Train_loss,Train_acc
1,Train,1,3.905431069,19.56490419
1,Train,2,3.398740206,26.22100562
1,Train,3,3.144899123,30.03889929
1,Train,4,2.973868458,33.43898574
1,Train,5,2.812826338,36.30600778
1,Train,6,2.637986815,39.33150843
1,Train,7,2.46011244,42.40023051
1,Train,8,2.293218486,45.22403112
1,Train,9,2.116601359,48.60971042
1,Train,10,1.970608759,51.98098257
1,Train,11,1.841056904,54.45901167
1,Train,12,1.722205538,56.89381933
1,Train,13,1.645917387,58.63708399
1,Train,14,1.538238469,60.53882726
1,Train,15,1.451000585,62.3397205
1,Train,16,1.378425969,63.98213514
1,Train,17,1.325965117,64.2846852
1,Train,18,1.238645703,67.03645008
1,Train,19,1.211572739,67.03645008
1,Train,20,1.142141451,68.53479326
1,Train,21,1.110049835,70.06195073
1,Train,22,1.080055872,70.13398646
1,Train,23,1.024775845,71.67555107
1,Train,24,0.968628668,72.66964414
1,Train,25,0.950591139,73.27474427
1,Train,26,0.931421763,74.26883734
1,Train,27,0.883226305,75.03241608
1,Train,28,0.843727369,76.48753782
1,Train,29,0.843979364,76.48753782
1,Train,30,0.844972285,75.63751621
1,Train,31,0.815385167,76.70364501
1,Train,32,0.80190348,77.38078087
1,Train,33,0.759556016,78.61979542
1,Train,34,0.728689253,79.34015272
1,Train,35,0.693612609,80.75205302
1,Train,36,0.712597456,79.36896701
1,Train,37,0.660048342,80.95375306
1,Train,38,0.641299903,81.27071027
1,Train,39,0.649100281,81.02578879
1,Train,40,0.621750541,81.97666042
1,Train,41,0.62645906,82.12073188
1,Train,42,0.636436643,81.55885319
1,Train,43,0.573046432,83.64788935
1,Train,44,0.569876477,83.61907506
1,Train,45,0.578449025,82.95634635
1,Train,46,0.569254366,83.64788935
1,Train,47,0.570374558,83.43178216
1,Train,48,0.547179935,84.33943236
1,Train,49,0.554432967,83.50381789
1,Train,50,0.525554189,84.52672526
1,Train,51,0.508714924,85.27589684
1,Train,52,0.492327049,85.29030399
1,Train,53,0.501821079,84.84368247
1,Train,54,0.505980465,85.33352543
1,Train,55,0.499094792,85.0741968
1,Train,56,0.497623239,85.56403976
1,Train,57,0.463164239,86.38524708
1,Train,58,0.432625169,87.69629736
1,Train,59,0.467924921,86.15473275
1,Train,60,0.465666527,86.38524708
1,Train,61,0.466275872,86.01066129
1,Train,62,0.444505815,86.83186861
1,Train,63,0.467874878,86.12591846
1,Train,64,0.420143632,88.09969745
1,Train,65,0.398475021,88.30139749
1,Train,66,0.420516327,87.82596168
1,Train,67,0.413600312,88.20054747
1,Train,68,0.428161801,87.16323296
1,Train,69,0.409301458,87.79714739
1,Train,70,0.387874128,88.92090477
1,Train,71,0.417066563,88.25817606
1,Train,72,0.39299798,88.41665466
1,Train,73,0.367170498,89.32430486
1,Train,74,0.364196627,89.97262642
1,Train,75,0.39338606,88.31580464
1,Train,76,0.377815514,89.07938337
