Phase,Epoch,Loss,Accuracy
Train,1,0.0215,99.58
Train,2,0.0003,100.00
Train,3,0.0002,100.00
Train,4,0.0002,100.00
Train,5,0.0002,100.00
Train,6,0.0002,100.00
Train,7,0.0002,100.00
Train,8,0.0002,100.00
Train,9,0.0002,100.00
Train,10,0.0002,100.00
Train,11,0.0002,100.00
Train,12,0.0002,100.00
Train,13,0.0002,100.00
Train,14,0.0002,100.00
Train,15,0.0002,100.00
Train_Test,-1,0.011972049891483039,100.00
GurobiEdit,1,0.0111,100.00
GurobiEdit,2,0.0000,100.00
GurobiEdit,3,0.0000,100.00
GurobiEdit,4,0.0000,100.00
GurobiEdit,5,0.0000,100.00
GurobiEdit,6,0.0001,100.00
GurobiEdit,7,0.0001,100.00
GurobiEdit,8,0.0002,100.00
GurobiEdit,9,0.0002,100.00
GurobiEdit,10,0.0002,100.00
GurobiEdit,11,0.0002,100.00
GurobiEdit,12,0.0002,100.00
GurobiEdit_Test,-1,0.011598767348914407,100.00
