Run,Phase,Epoch,Train_loss,Train_acc
1,Train,1,0.673578324,78.625
1,Train,2,0.332310047,89.955
1,Train,3,0.268837237,91.90833333
1,Train,4,0.243273855,92.695
1,Train,5,0.230757166,93.01
1,Train,6,0.229550027,93.09
1,Train,7,0.22514726,93.14833333
1,Train,8,0.220478902,93.42666667
1,Train,9,0.216919699,93.56
1,Train,10,0.215753011,93.45333333
1,Train,11,0.210514949,93.60166667
1,Train,12,0.211601811,93.56
1,Train,13,0.20881059,93.65
1,Train,14,0.206005037,93.815
1,Train,15,0.206657696,93.76
1,Train,16,0.201320039,93.90333333
1,Train,17,0.206142318,93.77166667
1,Train,18,0.205069791,93.91166667
1,Train,19,0.203048419,93.78166667
1,Train,20,0.204389501,93.76
1,Train,21,0.202486039,93.87
1,Train,22,0.198363435,93.99833333
1,Train,23,0.202094117,93.915
1,Train,24,0.197730081,94.01666667
1,Train,25,0.199939999,93.93833333
1,Train,26,0.19706813,94.075
1,Train,27,0.19778798,94.15166667
1,Train,28,0.194645259,94.08666667
1,Train,29,0.189334045,94.33
1,Train,30,0.187713542,94.235
1,Train,31,0.185062821,94.44833333
1,Train,32,0.181762756,94.59833333
1,Train,33,0.183029953,94.515
1,Train,34,0.184217678,94.48333333
1,Train,35,0.178160195,94.73666667
1,Train,36,0.181500021,94.51833333
1,Train,37,0.177961025,94.76
1,Train,38,0.178611176,94.64333333
1,Train,39,0.175346064,94.83333333
1,Train,40,0.174947481,94.815
1,Train,41,0.175652966,94.71
1,Train,42,0.174269049,94.705
1,Train,43,0.171141454,94.85666667
1,Train,44,0.172573147,94.80833333
1,Train,45,0.169921319,94.86666667
1,Train,46,0.169530901,94.89833333
1,Train,47,0.168285008,94.925
1,Train,48,0.168327628,94.95333333
1,Train,49,0.163019602,95.10833333
1,Train,50,0.164974019,95.05833333
1,Train,51,0.166200473,94.975
1,Train,52,0.160183146,95.16
1,Train,53,0.160915217,95.205
1,Train,54,0.162408906,95.18833333
1,Train,55,0.162410882,95.11833333
1,Train,56,0.157575067,95.21166667
1,Train,57,0.158044748,95.20666667
1,Train,58,0.155441245,95.34
1,Train,59,0.156085736,95.225
1,Train,60,0.154598462,95.29666667
1,Train,61,0.152777663,95.3
1,Train,62,0.151941177,95.42833333
1,Train,63,0.154394359,95.305
1,Train,64,0.152041533,95.5
1,Train,65,0.154189252,95.33666667
1,Train,66,0.149008042,95.535
1,Train,67,0.149018621,95.47833333
1,Train,68,0.151976371,95.335
1,Train,69,0.14575621,95.585
1,Train,70,0.14580343,95.49333333
1,Train,71,0.144479418,95.66833333
1,Train,72,0.144752893,95.66666667
1,Train,73,0.142810766,95.63166667
1,Train,74,0.142288226,95.62666667
1,Train,75,0.142839532,95.76166667
1,Train,76,0.144017268,95.62333333
1,Train,77,0.139583728,95.70166667
1,Train,78,0.142053265,95.69
1,Train,79,0.139863942,95.69166667
1,Train,80,0.138523536,95.76
1,Train,81,0.138000365,95.74666667
1,Train,82,0.134433307,95.96
1,Train,83,0.139066938,95.79
1,Train,84,0.132043594,96.075
1,Train,85,0.13717729,95.82166667
1,Train,86,0.131423746,95.93833333
1,Train,87,0.13299342,95.96833333
1,Train,88,0.129921072,96.00666667
1,Train,89,0.130233961,96.05833333
1,Train,90,0.130044263,96.14
1,Train,91,0.12482996,96.20333333
1,Train,92,0.125239758,96.18166667
1,Train,93,0.123941566,96.30666667
1,Train,94,0.122251579,96.28833333
1,Train,95,0.124420859,96.22333333
1,Train,96,0.116358001,96.41
1,Train,97,0.116878508,96.40333333
1,Train,98,0.11285339,96.6
1,Train,99,0.114378054,96.49333333
1,Train,100,0.114638401,96.485
1,Train,101,0.11268965,96.52666667
1,Train,102,0.111290972,96.53833333
1,Train,103,0.109316874,96.57666667
1,Train,104,0.105150833,96.715
1,Train,105,0.107106,96.68166667
1,Train,106,0.105126393,96.70833333
1,Train,107,0.102111387,96.84
1,Train,108,0.101886741,96.88166667
1,Train,109,0.103712167,96.79
1,Train,110,0.099751285,97.00666667
1,Train,111,0.100052133,96.90333333
1,Train,112,0.098681851,96.94833333
1,Train,113,0.096598482,97.065
1,Train,114,0.0935567,97.19833333
1,Train,115,0.09369146,97.1
1,Train,116,0.089161471,97.25666667
1,Train,117,0.089258683,97.22833333
1,Train,118,0.086408634,97.34333333
1,Train,119,0.087146796,97.305
1,Train,120,0.08614081,97.30333333
1,Train,121,0.083640006,97.37
1,Train,122,0.082820546,97.44
1,Train,123,0.07987485,97.52
1,Train,124,0.07789118,97.56166667
1,Train,125,0.077270985,97.66333333
1,Train,126,0.076244331,97.58666667
1,Train,127,0.075217456,97.65166667
1,Train,128,0.073779389,97.73333333
1,Train,129,0.069522645,97.84333333
1,Train,130,0.069366937,97.83833333
1,Train,131,0.067965559,97.90333333
1,Train,132,0.068910383,97.82
1,Train,133,0.06475212,97.99166667
1,Train,134,0.063975169,97.95666667
1,Train,135,0.063468515,98.01333333
1,Train,136,0.059711458,98.13166667
1,Train,137,0.059497332,98.11666667
1,Train,138,0.056811682,98.16
1,Train,139,0.055617089,98.25
1,Train,140,0.052496357,98.25333333
1,Train,141,0.051573152,98.35333333
1,Train,142,0.050318134,98.40333333
1,Train,143,0.048865751,98.44333333
1,Train,144,0.046497611,98.51666667
1,Train,145,0.044226752,98.58833333
1,Train,146,0.043601989,98.59166667
1,Train,147,0.042341719,98.65333333
1,Train,148,0.041302298,98.66166667
1,Train,149,0.038491633,98.77833333
1,Train,150,0.037098566,98.825
1,Train,151,0.035833493,98.85833333
1,Train,152,0.033162011,98.945
1,Train,153,0.033560278,98.91166667
1,Train,154,0.030207856,99.01
1,Train,155,0.02963668,99.04
1,Train,156,0.028607677,99.1
1,Train,157,0.027050798,99.14333333
1,Train,158,0.02425811,99.29166667
1,Train,159,0.02339395,99.27666667
1,Train,160,0.021693612,99.34166667
1,Train,161,0.023058939,99.24333333
1,Train,162,0.018502003,99.415
1,Train,163,0.018310711,99.43666667
1,Train,164,0.016941829,99.49
1,Train,165,0.016836512,99.46166667
1,Train,166,0.014937154,99.57
1,Train,167,0.013387031,99.61333333
1,Train,168,0.0119225,99.68833333
1,Train,169,0.013113708,99.615
1,Train,170,0.010923389,99.73333333
1,Train,171,0.010372263,99.73666667
1,Train,172,0.008367292,99.8
1,Train,173,0.009018282,99.78666667
1,Train,174,0.008633985,99.795
1,Train,175,0.006171066,99.88666667
1,Train,176,0.005950802,99.88
1,Train,177,0.006128393,99.88
1,Train,178,0.006206972,99.87666667
